compound,flashpoint,pure substance,smiles,source,is_silicon,is_metallic,is_tin,is_acid
cyclopentanecarboxylic acid,366.15,1,O=C(O)C1CCCC1,le15,0,0,0,1
(E)-hex-3-enoic acid,379.55,1,CC/C=C/CC(=O)O,le15,0,0,0,1
"2,2-dimethylbut-3-enoic acid",357.45,1,C=CC(C)(C)C(=O)O,le15,0,0,0,1
"2-Butenoic acid, ethyl ester",301.45,1,CC=CC(=O)OCC,le15,0,0,0,1
(E)-2-methylpent-2-enoic acid,380.15,1,CC/C=C(\C)C(=O)O,le15,0,0,0,1
(E)-2-methylpent-3-enoic acid,370.55,1,C/C=C/C(C)C(=O)O,le15,0,0,0,1
hex-5-enoic acid,373.25,1,C=CCCCC(=O)O,le15,0,0,0,1
(E)-4-methylpent-2-enoic acid,379.15,1,CC(C)/C=C/C(=O)O,le15,0,0,0,1
"Isothiocyanic acid, butyl ester",339.25,1,CCCCN=C=S,le15,0,0,0,1
"Butanoic acid, 3-oxo-, methyl ester",334.75,1,COC(=O)CC(C)=O,le15,0,0,0,1
"Pentanoic acid, 4-oxo-",388.15,1,CC(=O)CCC(=O)O,le15,0,0,0,1
"Pyruvic acid, ethyl ester (8CI)",318.15,1,CCOC(=O)C(C)=O,le15,0,0,0,1
"2-Propenoic acid, 2-hydroxyethyl ester",371.45,1,C=CC(=O)OCCO,le15,0,0,0,1
2-oxopentanoic acid,349.75,1,CCCC(=O)C(=O)O,le15,0,0,0,1
3-methyl-2-oxobutanoic acid,344.15,1,CC(C)C(=O)C(=O)O,le15,0,0,0,1
"Pentanoic acid, 2-methyl-",364.15,1,CCCC(C)C(=O)O,le15,0,0,0,1
"Propanoic acid, 2-methyl-, ethyl ester",286.15,1,CCOC(=O)C(C)C,le15,0,0,0,1
"Pentanoic acid, 3-methyl-",361.55,1,CCC(C)CC(=O)O,le15,0,0,0,1
"Acetic acid, 1-methylpropyl ester",289.25,1,CCC(C)OC(C)=O,le15,0,0,0,1
"Butanoic acid, ethyl ester",292.594,1,CCCC(=O)OCC,le15,0,0,0,1
"Propanoic acid, propyl ester",297.55,1,CCCOC(=O)CC,le15,0,0,0,1
"Acetic acid, 2-methylpropyl ester",294.85,1,CC(=O)OCC(C)C,le15,0,0,0,1
"Acetic acid, 1,1-dimethylethyl ester",284.15,1,CC(=O)OC(C)(C)C,le15,0,0,0,1
"2,2-dimethylbutanoic acid",352.55,1,CCC(C)(C)C(=O)O,le15,0,0,0,1
"Pentanoic acid, methyl ester",295.35,1,CCCCC(=O)OC,le15,0,0,0,1
"3,3-dimethylbutanoic acid",353.75,1,CC(C)(C)CC(=O)O,le15,0,0,0,1
"2,3-dimethylbutanoic acid",356.55,1,CC(C)C(C)C(=O)O,le15,0,0,0,1
"Butanoic acid, 2-methyl-, methyl ester",292.55,1,CCC(C)C(=O)OC,le15,0,0,0,1
"Nitrous acid, 3-methylbutyl ester",283.15,1,CC(C)CCON=O,le15,0,0,0,1
"Nitrous acid, pentyl ester",282.05,1,CCCCCON=O,le15,0,0,0,1
"Carbamic acid, butyl ester",381.15,1,CCCCOC(N)=O,le15,0,0,0,1
"Butanoic acid, 4-(methylamino)-",370.45,1,CNCCCC(=O)O,le15,0,0,0,1
"Propanedioic acid, oxo- (9CI)",486.15,1,O=C(O)C(=O)C(=O)O,le15,0,0,0,1
Butanedioic acid,384.05,1,O=C(O)CCC(=O)O,le15,0,0,0,1
"Propanoic acid, 2-hydroxy-, ethyl ester",327.75,1,CCOC(=O)C(C)O,le15,0,0,0,1
"Carbonic acid, diethyl ester",304.25,1,CCOC(=O)OCC,le15,0,0,0,1
"Propanoic acid, 2-hydroxy-, ethyl ester, (2S)-",319.15,1,CCOC(=O)[C@H](C)O,le15,0,0,0,1
"Propanoic acid, 3-nitro- (9CI)",421.55,1,O=C(O)CC[N+](=O)[O-],le15,0,0,0,1
"Acetic acid, nitro-, methyl ester",378.15,1,COC(=O)C[N+](=O)[O-],le15,0,0,0,1
"Acetic acid, mercapto-, ethyl ester",320.95,1,CCOC(=O)CS,le15,0,0,0,1
"Carbonochloridic acid, 2-propenyl ester",361.15,1,C=CCOC(=O)Cl,le15,0,0,0,1
"Carbonochloridic acid, 1-methylethyl ester",298.15,1,CC(C)OC(=O)Cl,le15,0,0,0,1
"Butyric acid, 4-chloro- (8CI)",374.25,1,O=C(O)CCCCl,le15,0,0,0,1
"Acetic acid, chloro-, ethyl ester",338.75,1,CCOC(=O)CCl,le15,0,0,0,1
3-Pyridinecarboxylic acid,403.85,1,O=C(O)c1cccnc1,le15,0,0,0,1
4-Pyridinecarboxylic acid,466.45,1,O=C(O)c1ccncc1,le15,0,0,0,1
"Phosphorous acid, trimethyl ester",356.85,1,COP(OC)OC,le15,0,0,0,1
"Phosphonic acid, methyl-, dimethyl ester",342.05,1,COP(C)(=O)OC,le15,0,0,0,1
"Acetic acid, 2,2-difluoro-, ethyl ester",298.15,1,CCOC(=O)C(F)F,le15,0,0,0,1
"Formic acid, chlorothio-, S-ethyl ester (7CI,8CI)",303.75,1,CCSC(=O)Cl,le15,0,0,0,1
"2-Propenoic acid, 2-cyano-, ethyl ester",352.35,1,C=C(C#N)C(=O)OCC,le15,0,0,0,1
"Phosphoric acid, dimethyl ester",323.55,1,COP(=O)([O-])OC,le15,0,0,0,1
"Phosphoric acid, monoethyl ester",379.55,1,CCOP(=O)([O-])[O-],le15,0,0,0,1
Bis-(hydroxymethyl)-phosphinic acid,578.25,1,O=P(O)(CO)CO,le15,0,0,0,1
"2-Furancarboxylic acid, methyl ester",331.75,1,COC(=O)c1ccco1,le15,0,0,0,1
"Sulfuric acid, dimethyl ester",356.483,1,COS(=O)(=O)OC,le15,0,0,0,1
"2-Propenoic acid, 2-methyl-, 2-propenyl ester",310.15,1,C=CCOC(=O)C(=C)C,le15,0,0,0,1
cyclohexene-1-carboxylic acid,384.15,1,O=C(O)C1=CCCCC1,le15,0,0,0,1
Cyclohex-3-ene-1-carboxylic acid,383.05,1,O=C(O)C1CC=CCC1,le15,0,0,0,1
"Valeric acid, 5-cyano-",419.55,1,N#CCCCCC(=O)O,le15,0,0,0,1
"2-Propenoic acid, oxiranylmethyl ester",349.25,1,C=CC(=O)OCC1CO1,le15,0,0,0,1
Cyclohexanecarboxylic acid,380.15,1,O=C(O)C1CCCCC1,le15,0,0,0,1
"2-Propenoic acid, 2-methylpropyl ester",305.95,1,C=CC(=O)OCC(C)C,le15,0,0,0,1
Acrylic acid butyl ester (8CI),312.55,1,C=CC(=O)OCCCC,le15,0,0,0,1
hept-6-enoic acid,386.45,1,C=CCCCCC(=O)O,le15,0,0,0,1
2-cyclopentylacetic acid,387.15,1,O=C(O)CC1CCCC1,le15,0,0,0,1
2-hydroxypropanoic acid,386.15,1,CC(C(=O)O)O,pubchem,0,0,0,1
but-2-enoic acid,361.15,1,CC=CC(=O)O,pubchem,0,0,0,1
"hexa-2,4-dienoic acid",400.15,1,CC=CC=CC(=O)O,pubchem,0,0,0,1
